Name,Date,Nationality,Summary,Description
Dred Scott ,1795-1858,Not found, Being a slave turned social activist,Dred Scott was a slave for several owners before he tried to sue for his freedom in a Missouri Court. The case went all the way up to the Supreme Court where the ruling in Missouri that would have given him and his family freedom was overturned by the court. It is believed that this case was part of what motivated the Emancipation Proclamation by Abraham Lincoln.
Sojourner Truth ,1797-1883,Not found, Being a women’s rights activist and abolitionist,"Originally named Isabella Baumfree, she changed her name to Sojourner Truth. She was born a slave and later escaped less than a year before slavery was abolished in the state of New York where she lived. She was the first black person to successfully take a white man to court and win. The result of the case was the return of her son who was illegally sold and sent to Alabama."
Frederick Douglass ,1818-1895,Not found, Famous abolitionist and human rights activist,"Frederick Douglass was a former slave who became a popular anti-slavery speaker. He wrote an autobiography that became a bestseller in the U.S. Douglass additionally became a supporter of woman’s rights. He later became the first black man to be appointed to positions of political power. Interestingly, he also was put on the Equal Rights Party ticket as vice presidential candidate without his agreement. This made him the first African American to be on the presidential ballot."
Harriet Tubman ,1820-1913,Not found, Her work with the Underground Railroad,"Nicknamed “Minty” and “Moses,” Harriet Tubman, originally named Araminta Harriet Ross, was an escaped slave who grew to become an abolitionist leader. In her years she saved hundreds of African-Americans from slavery via the Underground Railraod."
Booker T. Washington ,1856-1915,Not found, He was a longstanding leader in the African-American community,"Booker T. Washington was known for being a great speaker, educator, author and presidential advisor. He was initially born into slavery and after emancipation he became the voice for former slaves and other African-Americans who were being discriminated against in the Southern states. He pushed for economic advancement and better education in the community."
George Washington Carver ,1864-1943,Not found, Being a famous inventor and scientist,"George Washington Carver coined the crop rotation method. He also invented many different uses for the peanut. From this simple crop he created dyes, wood stain, shaving cream, shoe polish, synthetic rubber, salad oil and much more."
W.E.B. Du Bois ,1868-1963,Not found, Co-founding the NAACP,W.E.B. Du Bois was a influential black rights activist and leader. He was also a notable scholar who studied at Harvard. Du Bois was the very first black individual to earn their doctorate from Harvard University.
Duke Ellington ,1899-1974,Not found, Being the man who started the big band jazz concept,"Duke Ellington was known for his skills as a pianist, composer and bandleader. He made over 1,000 musical creations during his lifetime with his career lasting over 50 years. Ellington earned 12 Grammy Awards including the Grammy LIfetime Acheivement Award."
Louis Armstrong ,1901-1971,Not found, Thought of as one of the top musicians in the history of jazz,"Besides playing the trumpet, Louis Armstrong was also a singer, actor, comedian, bandleader and soloist. Some of his best-known songs are “What a Wonderful World,” “Star Dust” and “La Via En Rose.”"
Langston Hughes ,1902-1967,Not found, Being a popular poet and writer,"Hughes was first published at the age of 24. He became a well-known poet, playwright and novelist. Much of his work incorporated African-American subject matter which is why he is considered to be a major part of the Harlem Renaissance in the 1920’s."
Thurgood Marshall ,1908-1993,Not found, Becoming the first black justice on the Supreme Court,Thurgood Marshall graduated with a law degree from Howard University. He then represented the NAACP to work for equality for African-Americans. He argued the case of Brown v. Board of Education and won. Marshall served as a Supreme Court justice for 24 years.
Rosa Parks ,1913-2005,Not found, Refusing to give up her seat on the bus for a white rider,"Rosa Parks actions on the bus in Montgomery, Alabama resulted in a boycott in the city. Because of this boycott the city was essentially forced to get rid of the law that allowed for segregation on the buses. Her actions marked a big turning point in the young civil rights movement. She has been honored with many awards in her life."
Billie Holiday ,1915-1959,Not found, She was one of the best female jazz singers ever,"Billie Holiday won 10 Grammy Awards for her songs and albums. She also was inducted into the Rock and Roll Hall of Fame, The Ertegun Jazz Hall of Fame and the ASCAP Jazz Wall of Fame. Billie Holiday died at the age of 44 from substance abuse. Later, her autobiography was turned into a movie called Lady Sings the Blues with Diana Ross playing her character."
Jackie Robinson ,1919-1972,Not found, Being the first African-American in Major League Baseball,"Jackie Robinson was Rookie of the Year, played on a World Series championship team and was the National League most valuable player. His presence in MLB helped make huge advancements in black civil rights. His batting average of .311 makes him one of the greatest batters in history."
Nat King Cole ,1919-1965,Not found, He was the first African-American musical performer to have his own TV show,"Perhaps most remembered for his songs “Mona Lisa,” “Straighten Up and Fly Right,” “The Christmas Song” and “Nature Boy,” Nat King Cole began hosting his own variety TV show in the mid 1950’s. He was an inductee of the Alabama Jazz Hall of Fame and the Alabama Music Hall of Fame. In 1990 Nat King Cole was honored with the Grammy LIfetime Achievement Award."
Malcolm X ,1925-1965,Not found, Being a powerful leader in the Nation of Islam,"As the key figurehead of the Nation of Islam in the 50’s and 60’s, Malcom X saw his organization grow from a couple hundred followers to more than 40,000. He was known as a great speaker who told blacks that they should fight racism “by any means necessary.”"
Medgar Evers ,1925-1963,Not found, Being a prominent civil rights activist,"Medgar Evers fought for African-American rights throughout his life. He worked on voter registration, organized boycotts and demonstrations and helped to investigate crimes committed against African-Americans. Evers held the position of state field secretary for the NAACP in the state of Mississippi. He was assassinated at the young age of 37."
Miles Davis ,1926-1991,Not found," He was an amazing jazz artist, bandleader and trumpet player","Miles Davis won the Grammy Award 9 times in his life. He was a leader in jazz music innovation who liked to push the boundaries of the music. Some of his most popular songs were “So What,” “Round Midnight” and “Boplicity.”"
